corpusid_sectionid,title,date,section_title,question_rephrased,markdown_link,IDK
7384097-s8,A Survey of Word Reordering in Statistical Machine Translation: Computational Models and Language Phenomena,2015-02-17,Syntax-Based,How do syntax-based Statistical Machine Translation (SMT) approaches utilize tree structures differently?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/7384097-s8.md,False
7384097-s20,A Survey of Word Reordering in Statistical Machine Translation: Computational Models and Language Phenomena,2015-02-17,General-Purpose Metrics,"How do BLEU and METEOR metrics evaluate word order, and what are their limitations in this context?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/7384097-s20.md,False
7384097-s34,A Survey of Word Reordering in Statistical Machine Translation: Computational Models and Language Phenomena,2015-02-17,English and Turkish,"What are the differences between English and Japanese at the clause and phrase levels, and why do these differences pose challenges for Phrase-Based Statistical Machine Translation (PSMT)?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/7384097-s34.md,False
247627890-s19,"Vision-and-Language Navigation: A Survey of Tasks, Methods, and Future Directions",2022-03-22,Data Augmentation,What strategies are employed to improve data quality and diversity in Vision-and-Language Navigation through augmentation techniques?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/247627890-s19.md,False
235422524-s2,An Empirical Survey of Data Augmentation for Limited Data Learning in NLP,2021-06-14,Token-Level Augmentation,How do language models overcome the challenges associated with synonym replacement in token-level augmentation?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/235422524-s2.md,False
235422524-s3,An Empirical Survey of Data Augmentation for Limited Data Learning in NLP,2021-06-14,Sentence-Level Augmentation,What are the advantages and difficulties associated with using conditional generation methods for sentence-level data augmentation in NLP?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/235422524-s3.md,False
235422524-s6,An Empirical Survey of Data Augmentation for Limited Data Learning in NLP,2021-06-14,Consistency Training with DA,How is data augmentation used in consistency training for semi-supervised learning in natural language processing (NLP)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/235422524-s6.md,False
253736389-s10,Transformers for Tabular Data Representation: A Survey of Models and Applications,2023-03-01,Vanilla Transformer,"What is the structure of the vanilla transformer architecture, and what are its key components?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253736389-s10.md,False
251402499-s8,Abstractive Meeting Summarization: A Survey,2022-08-08,Evaluation methods,What are the challenges and limitations of using the ROUGE metric for evaluating abstractive meeting summaries?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251402499-s8.md,False
251402499-s11,Abstractive Meeting Summarization: A Survey,2022-08-08,Discursive information,"How do dialogue acts contribute to improving abstractive meeting summarization, especially in contexts involving decisions?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251402499-s11.md,False
251402499-s19,Abstractive Meeting Summarization: A Survey,2022-08-08,Long input processing,How do hierarchical transformers process long meeting transcripts using different levels of representation?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251402499-s19.md,False
256662721-s2,"Pre-train, Prompt and Recommendation: A Comprehensive Survey of Language Modelling Paradigm Adaptations in Recommender Systems",2023-02-07,Training Strategies of LMRS,"How is the ""pre-train, fine-tune extra part of the model"" strategy utilized in recommendation systems?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/256662721-s2.md,False
256662721-s3,"Pre-train, Prompt and Recommendation: A Comprehensive Survey of Language Modelling Paradigm Adaptations in Recommender Systems",2023-02-07,Prompting paradigm for RSs,"What are the advantages of using the ""pre-train, prompt, and inference"" paradigm for downstream recommendation tasks without the need for fine-tuning?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/256662721-s3.md,False
256662721-s5,"Pre-train, Prompt and Recommendation: A Comprehensive Survey of Language Modelling Paradigm Adaptations in Recommender Systems",2023-02-07,Language modelling objectives to recommendation,"What is the training objective of Auto-regressive Modelling (AM), and what are its limitations and potential solutions?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/256662721-s5.md,False
258426970-s8,Bridging the Gap: A Survey on Integrating (Human) Feedback for Natural Language Generation,2023-05-01,Optimizing for Human Feedback,"What are the primary techniques for optimizing model parameters using human feedback, and how are these techniques categorized?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258426970-s8.md,False
258426970-s18,Bridging the Gap: A Survey on Integrating (Human) Feedback for Natural Language Generation,2023-05-01,Subjectivity and variance in judgment,What strategies can be employed to improve low inter-rater reliability in annotator judgments for natural language generation tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258426970-s18.md,False
132053537-s2,A Short Survey on Sense-Annotated Corpora,2018-02-13,WordNet,"What are the main WordNet sense-annotated corpora, and why are they significant for Word Sense Disambiguation?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/132053537-s2.md,False
132053537-s4,A Short Survey on Sense-Annotated Corpora,2018-02-13,BabelNet,"How does EuroSense perform multilingual disambiguation, and what is its precision across various languages?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/132053537-s4.md,False
53296658-s3,A Survey on Natural Language Processing for Fake News Detection,2018-11-02,Short Claims,"What are the challenges associated with using the LIAR dataset for fact-checking, and why is it considered difficult?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/53296658-s3.md,False
53296658-s13,A Survey on Natural Language Processing for Fake News Detection,2018-11-02,Preprocessing,What additional preprocessing steps are necessary when using entire articles as inputs for fake news detection?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/53296658-s13.md,False
14225710-s6,Survey on the Use of Typological Information in Natural Language Processing,2016-10-11,Uses of Typological Information in NLP,How does incorporating typological information enhance the performance of multilingual dependency parsing?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/14225710-s6.md,False
245144787-s3,Measure and Improve Robustness in NLP Models: A Survey,2021-12-15,Robustness under Distribution Shift,What distinguishes robustness under distribution shift from domain adaptation and transfer learning in NLP?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/245144787-s3.md,False
245144787-s6,Measure and Improve Robustness in NLP Models: A Survey,2021-12-15,Continuous vs. Discrete in Search Space,How do adversarial attacks in computer vision and natural language processing differ in terms of perceptibility and the alteration of sentence meaning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/245144787-s6.md,False
208541377-s2,The use of rating and Likert scales in Natural Language Generation human evaluation tasks: A review and some recommendations Conference or Workshop Item The use of rating and Likert scales in Natural Language Generation human evaluation tasks: A review and some recommendations,2019,Rating and Likert scales,What distinguishes rating scales from Likert scales in survey design?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/208541377-s2.md,False
51623319-s14,Anaphora With Non-nominal Antecedents in Computational Linguistics: a Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2018-09-01,Structurally-determined relations,"What are shell nouns, and how do they relate to their shell content? Can you provide examples of these relationships?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/51623319-s14.md,False
51623319-s19,Anaphora With Non-nominal Antecedents in Computational Linguistics: a Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2018-09-01,Syntactic Preferences.,"How does the syntactic type of an antecedent affect the decision to use ""it"" or ""that"" in anaphora?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/51623319-s19.md,False
51623319-s20,Anaphora With Non-nominal Antecedents in Computational Linguistics: a Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2018-09-01,Discourse-Level Preferences.,"What are the key assumptions of Centering Theory, and how does it model coherence and salience in discourse?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/51623319-s20.md,False
51623319-s24,Anaphora With Non-nominal Antecedents in Computational Linguistics: a Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2018-09-01,Challenges Associated with Annotating Non-NA Anaphora,"How do researchers tackle the challenges of annotating non-nominal anaphora, especially in identifying precise antecedents?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/51623319-s24.md,False
51623319-s39,Anaphora With Non-nominal Antecedents in Computational Linguistics: a Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2018-09-01,587,"What are the three approaches to annotating non-nominal antecedents, and what challenges do they face?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/51623319-s39.md,False
51623319-s42,Anaphora With Non-nominal Antecedents in Computational Linguistics: a Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2018-09-01,Work Corpus data Anaphora,"What challenges do resolution algorithms face when dealing with non-nominal antecedent anaphora, and what considerations must be taken into account?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/51623319-s42.md,False
215238860-s6,"More Data, More Relations, More Context and More Openness: A Review and Outlook for Relation Extraction",2020-04-07,Utilizing More Data,What strategies are currently employed to mitigate the noise issue in distant supervision for relation extraction?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/215238860-s6.md,False
56657817-s2,Analysis Methods in Neural Language Processing: A Survey,2018-12-21,Methods,"What is the most common method for linking neural network components to linguistic properties, and how is it implemented and evaluated?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/56657817-s2.md,False
56657817-s15,Analysis Methods in Neural Language Processing: A Survey,2018-12-21,Adversary's Knowledge,What are some methods for generating adversarial examples in NLP without needing access to model parameters?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/56657817-s15.md,False
49564714-s3,Modeling Language Variation and Universals: A Survey on Typological Linguistics for Natural Language Processing,2018-07-02,Language Transfer,"What methods have been developed for language transfer, particularly in the context of dependency parsing?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49564714-s3.md,False
49564714-s4,Modeling Language Variation and Universals: A Survey on Typological Linguistics for Natural Language Processing,2018-07-02,Multilingual Joint Supervised Learning,"How does parameter sharing work in multilingual joint learning, and what are its implications for designing models?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49564714-s4.md,False
49564714-s5,Modeling Language Variation and Universals: A Survey on Typological Linguistics for Natural Language Processing,2018-07-02,Multilingual Representation Learning,How do cross-lingual training approaches tackle the issue of cross-lingual variation in multilingual NLP?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49564714-s5.md,False
49564714-s10,Modeling Language Variation and Universals: A Survey on Typological Linguistics for Natural Language Processing,2018-07-02,Heuristics based on morphosyntactic annotation.,"How can morphosyntactic annotation be effectively projected to resource-lean languages, and what techniques are employed for feature prediction?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49564714-s10.md,False
44130961-s18,"TutorialBank: A Manually-Collected Corpus for Prerequisite Chains, Survey Extraction and Resource Recommendation",2018-05-11,Dataset and Annotation Statistics,"How is inter-annotator agreement assessed in various annotation tasks, and what factors can affect these scores?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/44130961-s18.md,False
254854669-s23,Let's Negotiate! A Survey of Negotiation Dialogue Systems,2022-12-18,Supervised Learning,How is supervised learning utilized in negotiation dialogue systems to predict strategies and generate responses?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/254854669-s23.md,False
232320269-s8,A Survey on Predicting the Factuality and the Bias of News Media,2021-03-16,Textual Content Representation,How are linguistic features categorized and applied in the NELA toolkit for analyzing news media?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/232320269-s8.md,False
264439179-s3,A Survey on Detection of LLMs-Generated Content,2023-10-24,Metrics,"What are the limitations of using AUROC as a metric for evaluating detection algorithms, and what alternative metrics are suggested?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264439179-s3.md,False
264439179-s15,A Survey on Detection of LLMs-Generated Content,2023-10-24,Zero-Shot,What challenges arise when using basic features to identify content generated by large language models in zero-shot scenarios?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264439179-s15.md,False
264439179-s19,A Survey on Detection of LLMs-Generated Content,2023-10-24,Black-Box Watermarking,How have pretrained language models enhanced the efficiency of watermarking techniques?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264439179-s19.md,False
232075945-s2,A Survey on Stance Detection for Mis-and Disinformation Identification,2021-02-27,Source(s) Target,"What is stance detection, and how does it differ from other related NLP tasks?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/232075945-s2.md,False
232075945-s5,A Survey on Stance Detection for Mis-and Disinformation Identification,2021-02-27,Stance as a (Mis-/Dis-)information Detection Component,"How is stance detection applied in the context of rumor detection and debunking, and what are its formal definitions and categories?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/232075945-s5.md,False
232075945-s6,A Survey on Stance Detection for Mis-and Disinformation Identification,2021-02-27,Multiple languages,How has the use of transfer learning with pre-trained Transformers enhanced stance detection performance in various languages?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/232075945-s6.md,False
259833865-s8,A Survey of Evaluation Methods of Generated Medical Textual Reports,2023,Automatic Evaluation,"What are the two most popular types of automatic evaluation metrics in Natural Language Generation (NLG), and how do they differ?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/259833865-s8.md,False
259833865-s13,A Survey of Evaluation Methods of Generated Medical Textual Reports,2023,Medical Correctness: Report-based,How is the evaluation of medical concept coverage and negation correctness performed in generated medical reports?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/259833865-s13.md,False
259833865-s14,A Survey of Evaluation Methods of Generated Medical Textual Reports,2023,Medical Correctness: Auxiliary or Intermediate Tasks,What methods and metrics are used for classifying utterances in the evaluation of medical texts?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/259833865-s14.md,False
259833865-s16,A Survey of Evaluation Methods of Generated Medical Textual Reports,2023,Intrinsic Approaches,"How is medical correctness assessed in the generation of medical reports, and what are the criteria involved?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/259833865-s16.md,False
259833865-s17,A Survey of Evaluation Methods of Generated Medical Textual Reports,2023,Extrinsic Approaches,How is extrinsic human evaluation used to assess the quality of generated medical summaries?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/259833865-s17.md,False
259833865-s18,A Survey of Evaluation Methods of Generated Medical Textual Reports,2023,Presence of Domain Experts,What is the significance of involving domain experts in the human evaluation of generated medical textual reports?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/259833865-s18.md,False
3176028-s16,Discourse-Oriented Anaphora Resolution in Natural Language Understanding: A Review,1981-04-01,Discourse-cohesion approaches to anaphora resolution,How does the discourse-cohesion approach use cohesive ties to aid in coreference resolution?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/3176028-s16.md,False
3176028-s17,Discourse-Oriented Anaphora Resolution in Natural Language Understanding: A Review,1981-04-01,Coherence relations,"What are the two basic classes of coherence relations, and how are they exemplified in discourse?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/3176028-s17.md,False
234093015-s10,A Survey of Data Augmentation Approaches for NLP,2021-05-07,Tasks,How have data augmentation techniques been adapted for named entity recognition tasks to enhance model performance?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/234093015-s10.md,False
235790370-s12,A Systematic Survey of Text Worlds as Embodied Natural Language Environments,2021-07-08,Generative Environments,"How do procedurally generated environments enhance the ability of simulations to generalize, compared to environments that are statically initialized?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/235790370-s12.md,False
236460241-s2,A Survey of Code-switching: Linguistic and Social Perspectives for Language Technologies,2023-01-05,"Code-switching, Borrowing, Transfer, Loan Translation","What are the differences between loan translation and transfer in linguistics, and can you provide examples of these phenomena?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/236460241-s2.md,False
11250379-s1,A Survey on Automatic Speech Recognition with an Illustrative Example on Continuous Speech Recognition of Mandarin,1996-08-01,Continuous Speech Recognition of Mandarin,"How is the statistical pattern recognition approach utilized in automatic speech recognition, and what are its essential components?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/11250379-s1.md,False
11250379-s8,A Survey on Automatic Speech Recognition with an Illustrative Example on Continuous Speech Recognition of Mandarin,1996-08-01,Continuous Speech Recognition of Mandarin,How does incorporating linguistic context dependency enhance recognition accuracy in continuous Mandarin speech recognition?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/11250379-s8.md,False
11250379-s9,A Survey on Automatic Speech Recognition with an Illustrative Example on Continuous Speech Recognition of Mandarin,1996-08-01,Acoustic Modeling of Speech Units,What are the advantages and difficulties associated with using hidden Markov models in speech recognition systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/11250379-s9.md,False
11250379-s19,A Survey on Automatic Speech Recognition with an Illustrative Example on Continuous Speech Recognition of Mandarin,1996-08-01,Continuous Speech Recognition of Mandarin,What challenges and limitations are associated with using decoupled approaches in Mandarin speech recognition systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/11250379-s19.md,False
264833196-s13,Transformers as Recognizers of Formal Languages: A Survey on Expressivity,2023-11-01,Transformer encoder-decoders,How does the encoder-decoder architecture improve the processing and acceptance of strings in formal language recognition?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264833196-s13.md,False
264833196-s15,Transformers as Recognizers of Formal Languages: A Survey on Expressivity,2023-11-01,Number representations,What are the challenges and considerations when limiting numeric precision in transformer models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264833196-s15.md,False
